year,01,02,03,04,05,06,07,08,09,10,11,12
1967,60.9,49.8,76.7,47.2,83.5,83.5,67.2,83.1,84.3,60.4,53.7,86.5
1968,89.2,40.9,51.9,42.4,73.3,89.3,76.3,113.1,118.9,71.4,41.5,34.2
1969,50.1,52.2,44.6,79.9,75.1,102.1,48.3,112.0,20.3,21.6,85.4,33.0
1970,44.4,122.3,66.3,97.3,75.5,61.2,95.6,84.3,54.0,94.0,70.7,48.0
1971,33.3,35.4,29.3,35.9,65.7,129.5,31.0,67.5,39.6,27.7,66.2,40.3
1972,17.7,11.2,43.1,65.1,89.6,99.7,79.7,77.8,46.9,31.1,84.5,13.6
1973,32.2,52.7,25.6,71.6,60.4,57.7,88.2,40.2,43.2,79.3,82.6,68.6
1974,56.9,49.8,35.8,21.3,67.3,88.1,96.3,69.0,65.6,127.8,74.9,132.7
1975,62.5,17.5,56.3,57.6,53.5,84.2,70.2,75.3,57.7,37.1,59.8,27.8
1976,117.5,21.3,23.7,23.6,57.2,33.1,66.5,38.6,60.4,40.1,64.0,46.0
1977,59.6,81.8,48.6,79.3,37.7,92.4,76.0,101.7,41.6,42.8,108.3,55.7
1978,46.6,37.9,80.9,25.8,96.4,75.6,78.7,97.1,99.6,45.3,19.9,98.6
1979,48.5,49.0,94.8,67.6,61.4,80.6,73.9,76.5,55.9,25.1,90.9,103.4
1980,50.0,54.0,45.6,84.2,40.4,113.6,135.4,67.7,55.3,73.0,55.5,65.3
1981,88.5,37.9,99.4,38.5,79.2,92.8,97.3,76.8,71.9,128.5,84.3,100.2
1982,80.1,13.9,53.0,39.2,62.6,85.7,55.5,72.6,26.7,86.3,46.2,83.9
1983,95.6,46.6,60.0,102.9,116.1,55.9,27.5,61.7,60.5,44.3,58.8,55.3
1984,98.1,66.5,22.7,40.7,115.9,78.7,74.3,58.0,116.7,59.3,54.6,40.3
1985,60.0,27.4,49.2,65.2,72.1,101.9,70.7,83.6,48.9,17.1,70.2,67.4
1986,107.5,17.3,72.3,64.3,85.8,74.6,71.5,83.5,56.2,82.3,39.0,111.0
1987,65.7,59.0,67.1,41.1,90.5,113.8,107.1,79.2,81.1,47.1,76.6,56.4
1988,76.1,88.0,134.8,25.2,42.5,69.9,98.2,55.9,66.0,52.1,60.6,102.4
1989,23.4,49.9,51.7,80.3,28.2,61.9,83.5,66.0,48.0,63.2,47.8,84.4
1990,40.2,100.1,34.1,52.0,30.8,116.9,43.7,67.5,91.2,52.2,93.5,69.4
1991,46.9,25.7,33.7,36.2,48.3,110.8,57.0,42.9,51.0,34.1,80.6,77.4
1992,36.0,43.5,97.8,53.4,29.2,77.4,84.4,87.0,41.1,82.9,108.1,55.1
1993,87.3,32.0,19.7,40.5,72.7,78.9,137.2,64.9,92.4,70.3,36.5,153.4
1994,93.3,31.9,100.1,83.5,76.9,63.9,58.0,99.0,86.6,56.2,56.3,85.0
1995,119.0,74.6,83.5,57.8,77.8,88.5,72.4,76.6,94.3,22.2,59.3,51.6
1996,7.0,48.6,23.3,23.1,91.4,51.8,94.1,87.7,50.3,79.0,86.1,40.5
1997,11.2,85.2,48.4,45.4,64.3,91.0,111.9,44.9,25.4,63.7,38.3,84.3
1998,64.4,20.5,69.6,74.7,45.1,96.2,81.7,62.9,111.2,166.1,74.3,52.9
1999,66.1,84.0,63.0,58.4,76.0,78.6,71.6,68.6,54.2,41.8,54.6,121.1
2000,54.8,95.2,105.5,35.4,66.0,50.5,120.8,71.1,81.7,58.7,49.1,49.1
2001,61.1,58.6,109.2,73.6,40.3,93.8,68.9,68.3,138.5,45.3,84.9,86.3
