price,carat,icol,icut,iclar,ishape,irep,ityp
670,0.29,2,4,4,0,0,0
2850,0.8,6,3,0,0,0,0
310,0.3,5,3,3,4,2,1
4270,2.02,2,3,0,0,2,1
630,0.53,4,2,3,6,2,1
1750,0.37,6,4,6,0,0,0
3540,0.7,3,4,3,0,0,0
1200,0.34,6,4,6,0,0,0
1520,0.9,5,3,2,6,2,1
1190,0.74,4,3,3,1,2,1
1260,0.78,3,2,3,4,2,1
4390,1.0,1,2,2,0,0,0
4010,0.9,2,2,3,0,0,0
620,0.3,6,3,1,2,0,0
12070,2.63,4,4,3,0,2,1
3060,0.7,3,3,3,0,0,0
25860,1.9,5,4,5,0,0,0
1860,1.11,2,4,2,0,1,1
1670,1.09,1,3,2,0,2,1
980,0.32,4,4,2,0,0,0
2620,0.58,3,4,5,0,0,0
5830,1.5,0,2,0,0,0,0
1360,0.4,6,4,3,0,0,0
960,0.72,4,2,1,1,3,1
7490,1.2,2,3,2,6,0,0
2410,0.6,4,4,2,0,0,0
310,0.31,4,3,2,4,2,1
1350,0.42,5,4,2,0,0,0
630,0.6,2,3,3,4,2,1
6990,1.3,2,3,4,8,0,0
2050,1.04,3,4,2,5,2,1
4340,1.62,4,4,2,0,2,1
1170,0.34,5,4,5,0,0,0
580,0.36,1,4,2,0,0,0
1220,0.33,6,4,6,0,0,0
1900,1.2,1,3,3,0,3,1
870,0.33,4,4,3,0,0,0
4870,0.9,3,4,3,0,0,0
1380,0.46,3,2,3,0,0,0
3500,1.71,1,4,2,6,2,1
2680,0.8,4,2,3,4,0,0
2880,0.64,6,3,3,0,0,0
820,0.3,6,3,2,0,0,0
1400,1.01,1,3,1,6,2,1
880,0.31,3,4,4,0,0,0
1660,1.08,1,3,2,0,2,1
3050,0.91,1,2,1,0,0,0
490,0.3,1,2,2,0,0,0
1390,0.53,2,4,5,5,0,0
5310,1.01,3,2,6,1,0,0
1470,0.4,6,4,4,0,0,0
890,0.4,6,3,2,4,0,0
1210,0.42,6,4,5,0,0,0
3240,1.01,2,3,0,5,0,0
4460,0.7,6,3,5,0,0,0
350,0.32,5,3,1,0,2,1
700,0.57,4,2,3,6,2,1
900,0.3,5,4,2,0,0,0
790,0.3,4,4,2,0,0,0
320,0.31,5,2,3,4,2,1
5960,2.04,2,4,2,0,2,1
1090,0.4,6,4,0,0,0,0
2370,0.8,4,2,1,0,0,0
18260,2.03,2,4,1,6,0,0
660,0.26,3,4,4,0,0,0
6330,2.25,1,3,5,0,2,1
2060,1.12,2,4,3,0,2,1
8230,1.2,4,3,4,6,0,0
11330,1.51,3,4,2,0,0,0
107340,3.34,6,4,7,6,0,0
540,0.55,2,2,1,4,2,1
1350,0.5,1,2,1,0,0,0
300,0.3,5,4,2,6,2,1
2200,0.51,4,3,2,0,0,0
1900,0.47,6,4,4,0,0,0
1580,0.5,1,4,5,0,0,0
2450,0.5,4,4,3,0,0,0
3780,2.0,1,3,0,6,2,1
4570,2.08,1,3,2,0,2,1
1270,0.55,1,3,2,3,0,0
9030,1.5,2,2,3,0,0,0
1390,0.37,6,3,5,0,0,0
1080,0.34,5,4,5,0,0,0
37390,2.7,3,4,3,0,0,0
1190,0.4,3,2,5,0,0,0
480,0.3,1,4,5,0,0,0
2840,1.51,1,2,3,7,2,1
330,0.34,2,4,2,4,2,1
1960,0.6,1,4,6,0,0,0
1150,0.3,6,4,5,0,0,0
1290,0.52,1,4,2,0,0,0
940,0.5,4,3,1,4,0,0
3360,0.66,6,4,4,0,0,0
680,0.31,5,3,2,4,0,0
1570,0.5,4,3,5,3,0,0
8370,2.09,4,4,3,0,2,1
810,0.3,5,2,3,0,0,0
1150,0.73,5,4,2,9,2,1
1620,0.55,4,2,2,5,0,0
1070,0.31,6,4,5,5,0,0
2170,1.36,1,3,2,0,2,1
2190,1.05,4,4,1,0,2,1
1140,0.92,0,2,4,1,2,1
5390,1.01,6,1,2,6,0,0
730,0.55,4,3,4,0,2,1
1080,0.4,4,2,1,0,0,0
4760,2.0,1,3,2,6,2,1
2700,0.56,6,4,5,0,0,0
710,0.68,1,2,5,3,2,1
3050,1.01,6,3,4,0,2,1
12150,2.63,5,4,3,6,2,1
2680,0.75,3,4,0,0,0,0
830,0.3,6,4,2,0,0,0
1770,0.92,3,4,3,0,2,1
350,0.31,5,4,2,0,2,1
2340,0.53,4,4,4,0,0,0
1950,1.37,0,4,3,0,2,1
2230,0.5,2,4,3,0,0,0
2420,0.51,5,4,3,0,0,0
940,0.3,4,4,4,0,0,0
1100,0.31,6,4,4,0,0,0
800,0.4,3,2,1,6,0,0
1180,0.78,3,2,3,9,2,1
5300,1.83,4,4,2,0,2,1
570,0.31,5,2,1,1,0,0
950,0.32,6,4,2,0,0,0
630,0.45,5,3,5,0,2,1
2630,0.59,6,4,3,0,0,0
630,0.3,4,3,1,0,0,0
9680,0.9,6,4,6,0,0,0
590,0.3,5,3,0,0,0,0
1300,0.45,3,2,2,0,0,0
2070,1.05,2,3,4,0,2,1
1930,0.5,5,2,3,0,0,0
910,0.51,5,3,2,2,3,1
3050,0.8,4,2,1,0,0,0
770,0.33,1,4,5,0,0,0
2050,0.6,3,2,4,0,0,0
3090,0.7,3,4,1,0,0,0
4530,2.1,1,4,2,0,2,1
310,0.3,5,3,3,4,2,1
750,0.3,5,2,4,0,0,0
5150,1.57,4,2,3,2,2,1
540,0.33,4,3,1,3,0,0
1000,0.32,6,4,4,0,0,0
13200,1.55,3,4,2,0,0,0
13030,2.52,6,3,3,6,2,1
1320,0.33,6,4,5,0,0,0
850,0.71,4,3,0,0,2,1
600,0.3,5,3,0,0,0,0
1460,0.4,6,4,2,0,0,0
650,0.3,5,4,3,1,0,0
2430,0.7,4,2,1,0,0,0
3020,1.16,4,3,4,0,2,1
2220,0.5,6,4,5,0,0,0
5550,2.18,2,3,1,6,2,1
4420,1.51,3,3,4,0,2,1
7670,1.0,4,2,4,0,0,0
2910,1.0,2,3,0,7,0,0
2240,0.5,3,4,2,0,0,0
7610,1.51,0,4,0,0,0,0
8050,2.02,3,3,4,0,2,1
2880,1.56,0,4,4,0,2,1
2300,0.7,6,3,2,3,0,0
930,0.34,3,4,4,0,0,0
1170,0.72,4,4,3,0,2,1
2680,0.75,5,3,0,6,0,0
17170,3.1,5,3,3,1,2,1
6230,1.13,4,4,1,0,0,0
900,0.33,3,4,6,0,0,0
2580,1.51,1,3,1,4,2,1
1520,0.51,5,4,0,0,0,0
620,0.51,3,3,3,0,3,1
9210,1.61,3,4,0,0,0,0
3670,1.23,6,3,4,6,2,1
590,0.25,5,4,3,0,0,0
1460,0.58,3,2,3,6,0,0
660,0.33,5,4,0,0,0,0
920,0.74,2,4,2,6,2,1
2050,0.5,4,2,3,0,0,0
4310,1.2,1,2,2,8,0,0
3030,0.8,6,1,1,0,0,0
730,0.3,5,3,3,6,0,0
2180,0.5,3,4,3,0,0,0
1230,0.4,6,4,1,0,0,0
3430,1.35,5,4,3,0,2,1
850,0.3,5,4,2,0,0,0
8870,2.5,3,4,2,0,2,1
1340,0.42,5,4,2,0,0,0
1620,1.05,1,3,0,0,2,1
710,0.53,5,3,4,4,2,1
1550,0.5,2,2,1,0,0,0
4320,1.0,1,1,5,0,0,0
2310,1.01,5,2,3,9,2,1
5400,1.0,1,2,4,0,0,0
1150,0.74,2,4,4,3,2,1
4420,2.03,1,2,1,6,2,1
1010,0.4,6,2,1,0,0,0
2580,0.9,2,2,0,5,0,0
3610,1.09,6,2,0,3,1,0
660,0.71,0,4,0,1,2,1
700,0.3,2,4,5,0,0,0
730,0.56,4,3,2,0,3,1
800,0.3,3,4,2,0,0,0
4700,1.01,1,4,0,0,0,0
2970,0.7,4,4,1,0,0,0
860,0.31,5,4,2,0,0,0
3680,0.9,1,3,1,6,0,0
2290,0.94,5,2,5,6,2,1
4600,1.0,4,2,2,1,0,0
480,0.47,5,2,1,6,2,1
640,0.26,5,4,3,0,0,0
1030,0.5,1,4,2,1,0,0
2130,0.81,6,2,0,3,0,0
2390,0.54,4,4,3,0,0,0
550,0.31,4,4,1,0,0,0
3310,0.8,2,2,2,0,0,0
740,0.31,4,2,2,5,0,0
1580,0.4,6,4,4,0,0,0
770,0.3,6,4,2,0,0,0
4250,2.07,1,3,3,7,2,1
480,0.42,4,4,3,0,3,1
2520,0.9,0,2,0,6,0,0
4610,2.06,1,4,1,6,2,1
600,0.35,1,2,3,3,0,0
4380,1.01,2,4,0,6,0,0
4510,2.31,0,4,1,6,2,1
8550,2.64,3,2,2,3,3,1
2160,0.72,4,2,1,0,0,0
550,0.52,2,3,3,4,2,1
2470,0.7,3,4,2,4,0,0
1670,0.7,0,3,0,0,0,0
2430,1.06,5,3,3,9,3,1
340,0.33,4,2,3,4,2,1
1070,0.3,5,4,5,0,0,0
1560,0.9,5,3,3,1,2,1
420,0.37,4,4,3,0,2,1
6270,2.02,2,3,2,0,3,1
3900,1.6,3,4,2,0,2,1
750,0.3,2,3,1,0,0,0
2500,1.07,5,4,3,0,2,1
1800,1.0,3,2,1,3,3,1
2590,1.55,0,4,2,6,2,1
2050,0.74,0,4,4,0,0,0
450,0.3,1,3,1,4,0,0
990,0.84,5,1,0,4,2,1
1030,0.32,5,4,5,0,0,0
9700,1.0,5,4,3,0,0,0
660,0.57,5,4,1,0,2,1
1510,0.4,5,4,4,0,0,0
10540,1.0,6,4,3,0,0,0
3680,0.9,2,4,1,0,0,0
940,0.44,3,0,1,2,0,0
620,0.58,0,2,3,0,2,1
1730,0.7,4,3,1,4,0,0
370,0.36,5,1,3,6,2,1
3900,2.0,0,4,3,0,2,1
3780,0.9,3,2,1,0,0,0
4460,1.2,5,3,0,6,2,0
880,0.65,4,3,3,0,2,1
3480,0.91,1,2,4,0,0,0
400,0.37,6,4,4,6,2,1
6150,1.11,1,4,4,0,0,0
640,0.34,2,3,4,4,0,0
4320,1.0,2,3,0,6,0,0
2770,1.6,1,3,1,0,2,1
760,0.53,6,3,2,0,3,1
770,0.31,6,4,1,0,0,0
14340,3.01,5,2,2,7,2,1
2330,1.0,5,2,2,0,2,1
2890,1.34,2,3,4,0,2,1
4990,1.29,1,3,0,0,2,0
1860,0.7,6,2,0,0,0,0
1410,0.45,5,4,4,0,0,0
1150,0.51,6,4,0,1,0,0
2570,0.7,5,3,3,2,0,0
3140,0.7,5,2,4,0,0,0
920,0.3,5,4,4,0,0,0
1390,0.41,6,4,4,0,0,0
5210,1.0,4,2,1,0,0,0
6760,0.87,5,4,6,0,0,0
1900,0.62,4,4,0,0,0,0
390,0.34,6,3,2,0,2,1
1980,0.5,3,4,4,0,0,0
980,0.75,5,3,0,0,2,1
500,0.31,3,2,0,5,0,0
360,0.35,4,3,3,4,2,1
